TR23384|c1_g1
TR32660|c1_g1
TR34079|c1_g2
TR19334|c0_g1
TR36142|c0_g3
TR32324|c4_g3
TR13981|c1_g1
TR36200|c0_g1
TR30999|c0_g2
TR11897|c0_g1
TR8551|c4_g2
TR7713|c0_g3
TR28478|c0_g1
TR10158|c0_g1
TR9457|c0_g1
TR10972|c3_g2
TR2146|c11_g2
TR26434|c3_g2
TR32156|c9_g2
TR32172|c0_g4
TR3946|c1_g1
TR14005|c2_g1
TR36597|c0_g1
TR9524|c0_g1
TR8479|c13_g1
TR11015|c7_g4
TR19904|c4_g2
TR39101|c0_g1
TR9221|c4_g1
TR13982|c0_g1
TR17939|c5_g3
TR6619|c3_g1
TR32293|c1_g1
TR7759|c2_g1
TR2167|c0_g1
TR18231|c1_g2
TR1821|c0_g1
TR26682|c0_g1
TR31465|c0_g1
TR29833|c1_g1
TR31445|c0_g2
TR22295|c0_g1
TR8509|c0_g2
TR1414|c2_g1
TR32622|c0_g1
TR31237|c2_g1
TR2916|c0_g1
TR36337|c6_g1
TR18929|c0_g2
TR33533|c1_g1
TR23927|c5_g1
TR37060|c0_g1
TR23928|c2_g1
TR6594|c10_g2
TR6132|c0_g2
TR30796|c1_g2
TR24032|c0_g2
TR10109|c2_g3
TR6079|c13_g1
TR6424|c4_g1
TR32195|c12_g1
TR5208|c0_g1
TR39377|c0_g2
TR25264|c0_g1
TR17823|c2_g1
TR38931|c6_g1
TR11014|c1_g1
TR10739|c1_g1
TR1001|c0_g2
TR26588|c1_g1
TR7942|c2_g2
TR32853|c0_g1
TR16321|c0_g1
TR23954|c5_g1
TR35492|c1_g1
TR32145|c0_g1
TR32195|c8_g2
TR15991|c15_g1
TR38925|c7_g1
TR17434|c0_g2
TR19316|c2_g1
TR23359|c3_g1
TR36974|c16_g1
TR2598|c0_g1
TR20119|c1_g1
TR13701|c7_g1
TR23910|c16_g1
TR22093|c2_g1
TR6554|c1_g1
TR9248|c4_g7
TR9083|c1_g2
TR15266|c4_g6
TR13756|c3_g1
TR36598|c0_g1
TR21707|c10_g1
TR22268|c12_g1
TR1071|c0_g1
TR2177|c10_g1
TR9416|c3_g3
TR32256|c5_g1
TR2229|c2_g1
TR34765|c7_g1
TR13989|c0_g1
TR15264|c1_g1
TR24841|c2_g2
TR26460|c5_g1
TR36372|c6_g2
TR26384|c6_g2
TR32308|c4_g1
TR2540|c0_g1
TR15747|c1_g1
TR10867|c0_g2
TR27793|c0_g1
TR27560|c0_g1
TR2193|c0_g2
TR21927|c0_g1
TR10286|c0_g1
TR930|c0_g2
TR21290|c0_g1
TR25556|c1_g1
TR3984|c0_g2
TR13672|c3_g2
TR34282|c0_g1
TR2800|c0_g1
TR6620|c0_g1
TR23888|c1_g3
TR39259|c0_g2
TR27426|c1_g1
TR23360|c1_g1
TR6430|c3_g2
TR14675|c0_g1
TR32309|c4_g2
TR25564|c5_g1
TR23672|c0_g1
TR23306|c2_g2
TR10848|c0_g1
TR38949|c8_g1
TR3225|c0_g1
TR7191|c0_g1
TR2823|c0_g4
TR612|c0_g1
TR10741|c0_g1
TR13691|c5_g3
TR34067|c2_g1
TR33281|c0_g1
TR14522|c0_g1
TR23351|c0_g3
TR9028|c0_g1
TR1418|c1_g2
TR22270|c0_g1
TR18000|c0_g1
TR36620|c0_g1
TR7527|c0_g1
TR7919|c1_g1
TR31238|c0_g1
TR8546|c2_g1
TR7800|c6_g1
TR3924|c3_g2
TR8480|c7_g1
TR1472|c9_g1
TR38894|c1_g1
TR9112|c3_g1
TR13686|c3_g1
TR1020|c0_g1
TR24907|c0_g2
TR32282|c9_g2
TR9072|c1_g3
TR6566|c5_g4
TR18160|c3_g2
TR22881|c1_g1
TR15241|c6_g1
TR2896|c0_g1
TR1052|c0_g1
TR17831|c7_g1
TR15287|c1_g1
TR6563|c3_g1
TR6723|c2_g1
TR10201|c3_g2
TR20847|c0_g1
TR38944|c3_g1
TR9483|c0_g2
TR22055|c2_g2
TR9047|c6_g3
TR2344|c1_g1
TR10184|c4_g1
TR32180|c7_g1
TR33669|c0_g2
TR14011|c0_g1
TR3465|c0_g1
TR203|c2_g1
TR9428|c11_g1
TR2778|c3_g1
TR29075|c0_g1
TR13692|c4_g1
TR13696|c4_g1
TR36222|c3_g2
TR29178|c0_g1
TR6553|c3_g2
TR31894|c2_g3
TR3273|c0_g2
TR39099|c1_g1
TR38134|c0_g1
TR36181|c0_g1
TR6157|c8_g3
TR15286|c3_g2
TR34752|c5_g2
TR13660|c5_g3
TR32284|c3_g2
TR19868|c8_g1
TR9418|c9_g1
TR17891|c5_g1
TR20983|c0_g1
TR7882|c0_g1
TR18456|c0_g2
TR26471|c2_g1
TR9035|c10_g1
TR36198|c0_g1
TR31244|c1_g1
TR7726|c4_g3
TR15261|c0_g1
TR7944|c0_g1
TR32210|c7_g2
TR30864|c0_g1
TR30801|c0_g1
TR26408|c8_g3
TR1413|c3_g4
TR7787|c2_g1
TR15979|c7_g2
TR19250|c0_g1
TR7744|c1_g2
TR21728|c1_g3
TR11051|c6_g1
TR9405|c9_g3
TR36650|c0_g1
TR3964|c0_g2
TR17149|c0_g1
TR26471|c9_g3
TR5096|c5_g1
TR23264|c0_g1
TR3959|c9_g1
TR21706|c4_g1
TR22436|c1_g1
TR3870|c7_g2
TR11023|c1_g6
TR32287|c6_g1
TR14971|c0_g1
TR32314|c7_g1
TR27587|c0_g1
TR22414|c0_g1
TR3253|c0_g1
TR27382|c0_g1
TR36414|c5_g1
TR27369|c0_g1
TR24882|c1_g1
TR9215|c7_g4
TR7887|c0_g2
TR36221|c3_g2
TR17970|c0_g3
TR13163|c0_g2
TR36362|c6_g3
TR23307|c1_g2
TR22259|c0_g3
TR3231|c1_g1
TR34795|c9_g2
TR17859|c1_g1
TR31212|c10_g2
TR21982|c0_g1
TR3945|c16_g1
TR31234|c1_g1
TR30858|c18_g1
TR6117|c0_g2
TR11031|c4_g1
TR17832|c2_g2
TR9091|c0_g2
TR32591|c0_g1
TR31235|c1_g1
TR10123|c8_g1
TR9118|c9_g2
TR14022|c0_g1
TR21789|c0_g1
TR13172|c0_g1
TR6537|c0_g4
TR2803|c2_g2
TR27970|c0_g1
TR13672|c3_g7
TR34042|c3_g1
TR30863|c0_g1
TR17888|c3_g3
TR30850|c7_g1
TR18205|c2_g1
TR31917|c15_g1
TR11632|c0_g2
TR3918|c5_g1
TR17820|c11_g2
TR2723|c6_g2
TR21768|c6_g1
TR26433|c10_g1
TR10461|c0_g1
TR31514|c1_g1
TR36991|c0_g1
TR8256|c1_g2
TR32473|c0_g3
TR13756|c2_g1
TR5341|c0_g2
TR23994|c2_g2
TR19540|c1_g1
TR31215|c2_g1
TR28414|c0_g1
TR34757|c3_g2
TR3906|c10_g1
TR29865|c2_g1
TR19358|c0_g1
TR27424|c0_g1
TR33724|c0_g2
TR9252|c11_g1
TR6635|c4_g7
TR579|c0_g2
TR17994|c0_g1
TR37047|c3_g1
TR7765|c6_g1
TR24886|c1_g1
TR34123|c0_g1
TR26399|c1_g1
TR8341|c0_g1
TR25961|c0_g1
TR3212|c0_g1
TR15986|c1_g1
TR7894|c0_g2
TR9060|c7_g3
TR29149|c2_g1
TR7892|c1_g3
TR15233|c0_g3
TR26454|c0_g3
TR38956|c5_g3
TR17181|c0_g1
TR34752|c4_g1
TR6727|c1_g2
TR18170|c0_g1
TR36992|c9_g2
TR31425|c0_g1
TR27067|c0_g2
TR9222|c3_g1
TR9179|c6_g1
TR26387|c0_g1
TR32175|c8_g1
TR583|c0_g2
TR976|c0_g1
TR32657|c0_g2
TR39098|c0_g2
TR8283|c0_g1
TR17827|c1_g1
TR19176|c0_g1
TR9211|c2_g1
TR37658|c0_g1
TR24000|c8_g2
TR30850|c4_g1
TR3895|c1_g2
TR34093|c0_g2
TR19908|c2_g1
TR34831|c3_g1
TR6718|c0_g2
TR7338|c0_g1
TR14165|c3_g1
TR37022|c0_g2
TR32199|c4_g1
TR30373|c0_g1
TR7335|c0_g1
TR19865|c4_g1
TR32156|c11_g1
TR15275|c8_g2
TR9424|c0_g2
TR22077|c1_g1
TR22373|c2_g1
TR3876|c5_g1
TR23904|c3_g2
TR8521|c12_g1
TR5109|c6_g5
TR31915|c6_g2
TR6134|c1_g2
TR36999|c8_g1
TR6550|c1_g2
TR26453|c6_g1
TR1572|c0_g1
TR19845|c0_g4
TR26424|c0_g1
TR23999|c9_g3
TR9084|c3_g1
TR1403|c13_g1
TR6597|c2_g3
TR32194|c4_g1
TR33899|c0_g1
TR7723|c4_g2
TR24310|c0_g1
TR32303|c9_g1
TR9245|c3_g2
TR13703|c4_g2
TR10967|c2_g1
TR37096|c0_g2
TR33345|c0_g1
TR15901|c1_g4
