"","x"
"823","TR23242|c2_g1"
"824","TR37054|c6_g1"
"825","TR5047|c8_g2"
"826","TR1458|c5_g1"
"827","TR14703|c0_g1"
"828","TR19279|c0_g2"
"829","TR18232|c10_g1"
"830","TR14123|c0_g1"
"831","TR10122|c1_g1"
"832","TR27417|c0_g1"
"833","TR9249|c6_g2"
"834","TR31468|c0_g1"
"835","TR21713|c0_g3"
"836","TR6738|c0_g1"
"837","TR38966|c6_g1"
"838","TR16113|c0_g1"
"839","TR36382|c3_g1"
"840","TR36367|c1_g2"
"841","TR24408|c1_g1"
"842","TR17962|c1_g1"
"843","TR14981|c0_g1"
"844","TR24017|c12_g2"
"845","TR136|c0_g1"
"846","TR9463|c4_g3"
"847","TR23914|c0_g3"
"848","TR30802|c0_g1"
"849","TR38318|c0_g1"
"850","TR24857|c0_g2"
"851","TR10847|c0_g1"
"852","TR25964|c1_g1"
"853","TR6567|c4_g1"
"854","TR26377|c1_g2"
"855","TR14663|c2_g2"
"856","TR31217|c10_g1"
"857","TR6154|c1_g1"
"858","TR5361|c0_g1"
"859","TR30839|c8_g1"
"860","TR8505|c10_g3"
"861","TR38199|c0_g1"
"862","TR21363|c0_g1"
"863","TR6600|c7_g3"
"864","TR1434|c2_g1"
"865","TR6393|c5_g2"
"866","TR11458|c0_g1"
"867","TR6456|c6_g1"
"868","TR19187|c0_g2"
"869","TR34307|c1_g2"
"870","TR22843|c1_g1"
"871","TR36205|c2_g2"
"872","TR21908|c0_g1"
"873","TR7054|c0_g1"
"874","TR15252|c0_g1"
"875","TR30803|c8_g1"
"876","TR15377|c0_g1"
"877","TR19885|c7_g1"
"878","TR6875|c0_g1"
"879","TR1489|c8_g2"
"880","TR38301|c0_g1"
"881","TR7883|c2_g2"
"882","TR15269|c5_g2"
"883","TR9485|c5_g1"
"884","TR2539|c0_g3"
"885","TR13733|c1_g1"
"886","TR13989|c0_g2"
"887","TR15901|c0_g1"
"888","TR18209|c0_g1"
"889","TR27445|c0_g1"
"890","TR16056|c0_g1"
"891","TR29127|c8_g1"
"892","TR17849|c4_g1"
"893","TR13691|c6_g1"
"894","TR7723|c12_g2"
"895","TR10128|c6_g1"
